t;x;y;z;a
2151642737228788;-0.404128;-0.914794;0.562665;2
2151642742255865;-0.455602;-0.845809;0.52732;2
2151642747282961;-0.460779;-0.853904;0.525192;2
2151642752310038;-0.420437;-0.853351;0.511359;2
2151642757337038;-0.7814;-0.591761;0.406641;2
2151642762364115;-0.771186;-0.575736;0.392416;2
2151642767391226;-0.444641;-0.799922;0.461681;2
2151642772418072;-0.42427;-0.823439;0.469586;2
2151642777445187;-0.461393;-0.839643;0.456846;2
2151642782472264;-0.488599;-0.839667;0.470474;2
2151642787499379;-0.502216;-0.839669;0.511335;2
2151642792526379;-0.488596;-0.839669;0.552197;2
2151642797553528;-0.15339;-1.140068;0.723719;2
2151642802580528;-0.133528;-1.09783;0.717902;2
2151642807607360;-0.081896;-1.068347;0.703302;2
2151642812634437;-0.040724;-1.026687;0.662023;2
2151642817661504;-0.026515;-1.026202;0.620886;2
2151642822688581;-0.066787;-1.025818;0.593421;2
2151642827715600;-0.093519;-1.025529;0.593249;2
2151642832742677;-0.106765;-1.052542;0.633975;2
2151642837769754;-0.12023;-1.106891;0.688382;2
2151642842796831;-0.161114;-1.17509;0.674812;2
2151642847823682;-0.161234;-1.189032;0.63412;2
2151642852850759;-0.147956;-1.18958;0.593553;2
2151642857877849;-0.121336;-1.176615;0.566675;2
2151642862904849;-0.094884;-1.150027;0.539804;2
2151642867931926;-0.054959;-1.123364;0.526524;2
2151642872959003;-0.015069;-1.110279;0.526845;2
2151642877986080;-0.016074;-1.110616;0.554309;2
2151642883012936;-0.003421;-1.110761;0.595294;2
2151642888040013;-0.017867;-1.097109;0.636183;2
2151642893067090;-0.045538;-1.124182;0.663363;2
2151642898094090;-0.113614;-1.137583;0.676872;2
2151642903121152;-0.143602;-1.059314;0.664553;2
2151642908148229;-0.196335;-1.051438;0.660589;2
2151642913175306;-0.249917;-1.050783;0.646599;2
2151642918202152;-0.303679;-1.064662;0.619449;2
2151642923229454;-0.28301;-1.006251;0.542524;2
2151642928256301;-0.267176;-0.985924;0.49833;2
2151642933283373;-0.22639;-0.985878;0.471072;2
2151642938310373;-0.172593;-0.959293;0.47142;2
2151642943337450;-0.098662;-0.87096;0.401192;2
2151642948364527;-0.044966;-0.824674;0.371432;2
2151642953391604;0.007829;-0.811257;0.344368;2
2151642958418450;0.046763;-0.811946;0.358407;2
2151642963445551;0.041685;-0.746113;0.320617;2
2151642968472628;0.052997;-0.768519;0.332109;2
2151642973499608;0.037507;-0.754607;0.332066;2
2151642978526762;0.035827;-0.754518;0.359349;2
2151642983553767;0.006928;-0.690135;0.363325;2
