t;x;y;z;a
252772498138404;5.386954;7.410054;3.5434184;3
252772503693481;5.3678;7.417237;3.4596214;3
252772508698404;5.3678;7.422025;3.4141316;3
252772514919019;5.3821654;7.419631;3.3446999;3
252772518708019;5.3941364;7.419631;3.2992098;3
252772523712942;5.4324436;7.433996;3.301604;3
252772528687327;5.451597;7.410054;3.3039982;3
252772533692250;5.4683566;7.410054;3.335123;3
252772538697173;5.482722;7.4028716;3.359065;3
252772543701866;5.5282116;7.4004774;3.4404678;3
252772548706789;5.554548;7.3789296;3.5482068;3
252772553813558;5.559336;7.371747;3.6391866;3
252772558716635;5.5282116;7.371747;3.7086184;3
252772563691019;5.4922986;7.357382;3.7684734;3
252772568695943;5.446809;7.33344;3.8163576;3
252772573700866;5.4420204;7.3406224;3.8355112;3
252772578705558;5.410896;7.350199;3.845088;3
252772583710481;5.4061074;7.345411;3.8618474;3
252772588715404;5.3701944;7.323863;3.8115692;3
252772593844558;5.3462524;7.338228;3.739743;3
252772598725173;5.3247046;7.347805;3.6727054;3
252772603699635;5.305551;7.3669586;3.5913026;3
252772608704327;5.2959743;7.386112;3.5314474;3
252772613709250;5.303157;7.374141;3.4620156;3
252772618714173;5.315128;7.383718;3.4021606;3
252772623688558;5.279215;7.3909006;3.3854012;3
252772628693481;5.245696;7.393295;3.394978;3
252772633794712;5.183447;7.395689;3.3782187;3
252772638703097;5.1786585;7.40766;3.3734303;3
252772643708020;5.1786585;7.393295;3.4093432;3
252772648712943;5.2361193;7.386112;3.3925838;3
252772653687327;5.2600613;7.3765354;3.430891;3
252772658692250;5.3079453;7.374141;3.4620156;3
252772663697174;5.353435;7.3645644;3.4620156;3
252772668702097;5.389348;7.36217;3.4955344;3
252772673922481;5.4204726;7.3645644;3.4835634;3
252772678711712;5.422867;7.357382;3.4835634;3
252772683716635;5.386954;7.347805;3.466804;3
252772688691020;5.341464;7.3549876;3.4644098;3
252772693695943;5.2840033;7.3669586;3.4524388;3
252772698700866;5.2624555;7.3669586;3.4093432;3
252772703705558;5.281609;7.3765354;3.4021606;3
252772708710481;5.2983685;7.374141;3.3877954;3
252772713883328;5.3223104;7.3909006;3.406949;3
252772718720251;5.327099;7.395689;3.4021606;3
252772723694712;5.3342814;7.4124484;3.3734303;3
252772728699635;5.3438582;7.4004774;3.3566709;3
252772733704328;5.351041;7.3909006;3.3207579;3
252772738709251;5.365406;7.4028716;3.301604;3
252772743714174;5.391742;7.398083;3.3446999;3
252772748688558;5.3821654;7.393295;3.3662477;3
