t;x;y;z;a
256250280607050;-0.80205756;8.497022;5.2744265;3
256250286161896;-0.48602295;8.379706;5.379771;3
256250291166819;-0.21308395;8.300697;5.4300494;3
256250296171742;-0.045489833;8.274361;5.451597;3
256250301176588;-0.016759412;8.281544;5.4324436;3
256250306464973;-0.035913024;8.303091;5.461174;3
256250311186435;-0.04309563;8.334216;5.449203;3
256250316160665;-0.06464344;8.35337;5.4922986;3
256250321165588;-0.033518825;8.3629465;5.542577;3
256250326170512;-0.055066638;8.384495;5.518635;3
256250331175435;-0.050278235;8.389283;5.4444146;3
256250336180358;-0.050278235;8.391677;5.4085016;3
256250341185204;-0.007182605;8.365341;5.3821654;3
256250346504050;0.02633622;8.377312;5.3318872;3
256250351195050;0.01436521;8.379706;5.305551;3
256250356169281;0.016759412;8.379706;5.231331;3
256250361174204;-0.01436521;8.377312;5.1690817;3
256250366179050;-0.05267244;8.39886;5.1116204;3
256250371183973;-0.088585466;8.415619;5.094861;3
256250376158435;-0.16280572;8.401254;5.070919;3
256250381163358;-0.21787235;8.415619;5.068525;3
256250386257512;-0.25617957;8.391677;5.1140146;3
256250391172973;-0.2873042;8.429984;5.1762643;3
256250396177896;-0.30406362;8.441956;5.2026005;3
256250401182819;-0.28491;8.425196;5.2385135;3
256250406157204;-0.22984336;8.396465;5.267244;3
256250411162127;-0.17238252;8.350976;5.2840033;3
256250416166819;-0.12928689;8.327033;5.2887917;3
256250421171742;-0.093373865;8.307879;5.2887917;3
256250426354512;-0.04309563;8.274361;5.29358;3
256250431181512;-0.06703765;8.240842;5.3318872;3
256250436155973;-0.14844051;8.252813;5.29358;3
256250441160896;-0.21068975;8.295909;5.1882353;3
256250446165589;-0.23463176;8.283937;5.1666875;3
256250451170512;-0.24660277;8.279149;5.1810527;3
256250456175435;-0.22026655;8.267179;5.195418;3
256250461180281;-0.16998832;8.243237;5.195418;3
256250466418127;-0.08140286;8.240842;5.1906295;3
256250471190127;-0.05267244;8.248025;5.195418;3
256250476164358;-0.10055647;8.236053;5.197812;3
256250481169281;-0.15801731;8.224083;5.1475334;3
256250486174204;-0.18435353;8.221688;5.0996494;3
256250491179050;-0.19632454;8.228871;5.0613422;3
256250496183973;-0.25139117;8.279149;5.0637364;3
256250501158435;-0.25139117;8.300697;5.011064;3
256250506474820;-0.25617957;8.312668;5.011064;3
