t;x;y;z;a
267657062814788;7.9343843;5.533;1.2593501;3
267657068369865;7.9104424;5.4922986;1.6543933;3
267657074224403;7.759608;5.497087;2.183512;3
267657078379480;7.678205;5.533;2.5234885;3
267657083384403;7.5944076;5.544971;2.9472623;3
267657088389326;7.5465236;5.547365;3.2609026;3
267657093394249;7.5561004;5.518635;3.3854012;3
267657098368634;7.630321;5.4420204;3.3518825;3
267657103373557;7.723695;5.3965306;3.2345665;3
267657108378249;7.7572136;5.425261;3.0454245;3
267657113544634;7.771579;5.473145;2.7964275;3
267657118388096;7.797915;5.518635;2.4995465;3
267657123393019;7.8410106;5.5497594;2.1428106;3
267657128367403;7.9008656;5.5641246;1.7884687;3
267657133372096;7.917625;5.57849;1.5107412;3
267657138377249;7.93199;5.6096144;1.2761095;3
267657143381942;7.965509;5.638345;1.1180922;3
267657148386865;7.896077;5.659893;1.0366893;3
267657153472096;7.836222;5.683835;1.0702082;3
267657158396711;7.6734166;5.6982;1.1659763;3
267657163371096;7.5584946;5.7149596;1.3215994;3
267657167951173;7.429208;5.710171;1.5179238;3
267657173380711;7.3310456;5.707777;1.7357962;3
267657178385634;7.2544312;5.705383;1.9129672;3
267657183390557;7.273585;5.695806;2.1140802;3
267657188364942;7.36217;5.6910176;2.2481554;3
267657193669634;7.5584946;5.7005944;2.327164;3
267657198374788;7.7787614;5.683835;2.3343468;3
267657203379480;8.003817;5.6982;2.2960393;3
267657208384403;8.240842;5.7628436;2.1906946;3
267657213389327;8.429984;5.8203044;2.1332338;3
267657218394250;8.513782;5.851429;2.0949266;3
267657223368634;8.48984;5.849035;2.0374656;3
267657228373327;8.379706;5.851429;1.9919758;3
267657233538480;8.183381;5.8681884;1.9440918;3
267657238383173;8.042124;5.877765;1.8818425;3
267657243388096;7.824251;5.849035;1.8243817;3
267657248393019;7.620744;5.8825536;1.733402;3
267657253367404;7.3789296;5.9064956;1.6519991;3
267657258372327;7.1251445;5.925649;1.5682021;3
267657263377019;6.95755;5.9304376;1.4820108;3
267657268381942;6.885724;5.932832;1.4197617;3
267657273606481;6.871359;5.887342;1.400608;3
267657278391788;6.967127;5.889736;1.400608;3
267657283366173;7.1514807;5.9064956;1.4820108;3
267657288371096;7.386112;5.8945246;1.6304513;3
267657293375788;7.548918;5.8921304;1.7812861;3
267657298380711;7.666234;5.8705826;1.9177556;3
267657303385634;7.728483;5.8442464;2.0326772;3
267657308390481;7.78355;5.8322754;2.1212628;3
267657313584096;7.795521;5.8442464;2.219425;3
267657318400327;7.747637;5.875371;2.2888567;3
267657323374558;7.704541;5.861006;2.3582888;3
267657328379481;7.6351094;5.889736;2.4061728;3
267657333384404;7.4866686;5.8705826;2.408567;3
267657338389327;7.3645644;5.865794;2.3702598;3
267657343394250;7.2304893;5.8442464;2.267309;3
267657348368635;7.141904;5.805939;2.1452048;3
267657353560404;7.089231;5.765238;1.9967642;3
267657358378250;7.1107793;5.7365074;1.8363527;3
267657363383173;7.201759;5.717354;1.7286136;3
267657368388096;7.3166804;5.719748;1.6687586;3
267657373392942;7.417237;5.717354;1.6448165;3
267657378367404;7.52737;5.719748;1.6759412;3
267657383372327;7.565677;5.781997;1.7357962;3
267657388377250;7.5321584;5.853823;1.7597382;3
267657393564404;7.5345526;5.8921304;1.8052281;3
267657398386865;7.553706;5.9304376;1.9009962;3
267657403391789;7.5345526;5.9663506;1.9919758;3
267657408366173;7.513005;5.9663506;2.0350714;3
267657413371096;7.5321584;5.9519854;2.0494366;3
267657418375789;7.513005;5.93762;2.0278888;3
267657423380712;7.501034;5.93762;1.9871874;3
267657428385635;7.4723034;5.901707;1.9249382;3
267657433615173;7.455544;5.884948;1.8076223;3
267657438395404;7.455544;5.865794;1.7381904;3
267657443369866;7.4627266;5.8442464;1.7118542;3
267657448374558;7.489063;5.851429;1.7070658;3
267657453379481;7.469909;5.8466406;1.7741034;3
267657458384404;7.4603324;5.8346696;1.8459295;3
267657463389327;7.45315;5.815516;1.8818425;3
267657468394173;7.4723034;5.8442464;1.9249382;3
267657473595789;7.4842744;5.865794;1.9608512;3
267657478404020;7.48188;5.877765;1.99437;3
267657483378250;7.503428;5.896919;2.087744;3
267657488383173;7.469909;5.9041014;2.15957;3
267657493388096;7.433996;5.889736;2.2146366;3
267657498392943;7.386112;5.925649;2.267309;3
267657503367404;7.350199;5.93762;2.3199813;3
267657508372327;7.345411;5.90889;2.3295584;3
267657513561250;7.3047094;5.925649;2.3415294;3
267657518381943;7.326257;5.949591;2.303222;3
267657523386866;7.3549876;5.9639564;2.2361844;3
267657528391789;7.40766;5.961562;2.1045034;3
267657533366173;7.467515;5.971139;1.9680338;3
267657538371097;7.4627266;5.9759274;1.8291701;3
267657543375789;7.4268136;5.9807158;1.7788919;3
267657548380712;7.338228;5.9663506;1.7405846;3
267657553556635;7.2664022;5.98311;1.7717092;3
267657558390481;7.201759;5.995081;1.8028339;3
267657563364943;7.1155677;5.985504;1.8531121;3
267657568369866;7.079654;5.9663506;1.8938135;3
267657573374558;7.0581064;5.925649;1.9560628;3
267657578379481;7.041347;5.901707;2.0590134;3
267657583384404;7.017405;5.8945246;2.1930888;3
267657588389327;7.00304;5.884948;2.3343468;3
267657593587481;7.03177;5.9041014;2.4396915;3
267657598399097;7.065289;5.9064956;2.4875755;3
267657603373327;7.1466923;5.899313;2.5474305;3
267657608378251;7.2424603;5.884948;2.5785553;3
267657613383174;7.3885064;5.8921304;2.5689783;3
267657618388097;7.441179;5.8921304;2.5570073;3
267657623392943;7.445967;5.923255;2.4971523;3
267657628367404;7.4627266;5.935226;2.4157495;3
267657633556635;7.457938;5.932832;2.3439236;3
267657638377020;7.417237;5.947197;2.2984335;3
267657643381943;7.3645644;5.93762;2.2146366;3
267657648386866;7.3166804;5.9424086;2.1619642;3
267657653391789;7.2687964;5.9663506;2.147599;3
267657658366174;7.2089415;5.961562;2.0638018;3
267657663371097;7.192182;5.9783216;2.030283;3
267657668375789;7.2185183;5.9759274;2.042254;3
267657673647789;7.275979;5.995081;2.078167;3
267657678385635;7.33344;6.009446;2.0733786;3
267657683390482;7.405266;6.0166287;2.0949266;3
267657688364943;7.491457;6.0381765;2.0925324;3
267657693369866;7.5561004;6.0764837;2.0973208;3
267657698374558;7.6015906;6.093243;2.1045034;3
267657703379482;7.6710224;6.0860605;2.1308396;3
267657708384405;7.716512;6.0764837;2.1452048;3
267657713556020;7.764396;6.069301;2.1308396;3
267657718394174;7.776367;6.1100025;2.1045034;3
267657723368635;7.8410106;6.0860605;2.1260512;3
267657728373559;7.881712;6.090849;2.1859062;3
267657733378251;7.917625;6.0740895;2.2529438;3
267657738383174;7.9463553;6.105214;2.3127987;3
267657743388097;7.9487495;6.090849;2.3558946;3
267657748392943;7.9750857;6.069301;2.3582888;3
267657753581866;8.020576;6.081272;2.3630772;3
267657758402789;8.051701;6.0860605;2.3989902;3
267657763377020;8.090008;6.0884547;2.4468741;3
267657768381943;8.12592;6.0860605;2.4851813;3
267657773386866;8.152257;6.0597243;2.5785553;3
267657778391789;8.207323;6.066907;2.6479871;3
267657783366174;8.269572;6.069301;2.7341783;3
267657788370866;8.401254;6.05733;2.7940333;3
267657793464020;8.554482;6.0381765;2.825158;3
267657798380713;8.674192;6.0046577;2.885013;3
267657803385636;8.736442;6.030994;2.9041667;3
267657808390559;8.719683;6.0381765;2.8682537;3
267657813364943;8.710106;6.0477533;2.8060043;3
267657818369866;8.669404;6.033388;2.719813;3
267657823374790;8.599973;6.0046577;2.6982653;3
267657828379482;8.540117;5.9759274;2.6527755;3
267657833623482;8.453926;5.9759274;2.6288335;3
267657838389328;8.396465;5.995081;2.6527755;3
267657843394174;8.317456;6.042965;2.6671407;3
267657848368636;8.257602;6.0405707;2.645593;3
267657853373559;8.228871;6.030994;2.6144683;3
267657858378251;8.166622;6.0597243;2.5354595;3
267657863383174;8.0684595;6.045359;2.4516625;3
267657868388097;7.9966335;5.997475;2.3894134;3
267657873608405;7.860164;5.9567738;2.3535004;3
267657878397867;7.6614456;5.93762;2.327164;3
267657883372328;7.429208;5.93762;2.327164;3
267657888377020;7.1059904;5.9280434;2.2768857;3
267657893381944;6.895301;5.90889;2.2050598;3
267657898386867;6.670246;5.8825536;2.1499932;3
267657903391790;6.459556;5.872977;2.087744;3
267657908366174;6.2584434;5.889736;2.0518308;3
267657913539790;6.0405707;5.9041014;1.9967642;3
267657918375790;5.8107276;5.932832;1.8938135;3
267657923380713;5.645528;5.932832;1.7477672;3
267657928385636;5.3965306;5.9424086;1.5562311;3
267657933390559;5.133168;5.947197;1.2425907;3
267657938364944;4.88896;5.9160724;1.0031705;3
267657943369867;4.6255975;5.911284;0.78290397;3
267657948374790;4.3382936;5.884948;0.62009823;3
267657953633251;4.003105;5.8586116;0.50757074;3
