t;x;y;z;a
268241589561589;-0.78529817;6.8569937;6.7085533;3
268241594839358;-0.61052144;6.8426285;6.7492547;3
268241600121589;-0.4285621;6.8450227;6.7372837;3
268241605126512;-0.34955344;6.885724;6.7444663;3
268241610131435;-0.2825158;6.921637;6.7109475;3
268241615136358;-0.2801216;6.9527617;6.6989765;3
268241620110743;-0.36870706;6.9623384;6.6870055;3
268241625115435;-0.4309563;6.9479733;6.6870055;3
268241630120358;-0.44532153;6.9527617;6.715736;3
268241635442819;-0.45010993;6.909666;6.801927;3
268241640130204;-0.4237737;6.9024835;6.873753;3
268241645135050;-0.4429273;6.885724;6.9838862;3
268241650139973;-0.45010993;6.885724;7.0820484;3
268241655266820;-0.46926352;6.919243;7.144298;3
268241660119127;-0.46208093;6.907272;7.177817;3
268241665124050;-0.4405331;6.8809357;7.1754227;3
268241670128896;-0.4285621;6.8450227;7.1634517;3
268241675303973;-0.38307226;6.8162923;7.156269;3
268241680138743;-0.35913026;6.8091097;7.2113357;3
268241685112973;-0.29209262;6.7923503;7.2209125;3
268241690117897;-0.17238252;6.6893997;7.240066;3
268241695122820;-0.050278235;6.564901;7.297527;3
268241700127743;-0.009576807;6.38773;7.386112;3
268241705132589;-0.011971008;6.203377;7.4124484;3
268241710137512;0.12449849;6.5146227;7.371747;3
268241715353820;0.1388637;7.240066;7.273585;3
268241720147358;-0.011971008;7.723695;7.3071036;3
268241725121589;-0.14604631;7.7548194;7.4028716;3
268241730126512;-0.29209262;7.445967;7.40766;3
268241735131435;-0.50517654;7.055712;7.3430166;3
268241740136281;-0.50996494;6.8426285;7.2951326;3
268241745110743;-0.35673606;6.727707;7.309498;3
268241750115435;-0.1364695;6.6750345;7.321469;3
268241755388589;0.035913024;6.7253127;7.2592196;3
268241760125281;0.059855044;6.7923503;7.165846;3
268241765130127;0.08619126;6.8330517;7.055712;3
268241770135051;0.11731588;6.8306575;6.9862804;3
268241775139974;0.16759412;6.787562;6.933608;3
268241780114204;0.20829555;6.7372837;6.9168487;3
268241785119128;0.31603462;6.715736;6.9527617;3
268241790124051;0.33518824;6.7253127;7.005434;3
268241795325512;0.29448682;6.754043;7.029376;3
268241800133820;0.20350714;6.799533;7.043741;3
268241805138743;0.08140286;6.83784;7.062895;3
268241810112974;-0.050278235;6.8545995;7.0964136;3
268241815117897;-0.12449849;6.8545995;7.117962;3
