t;x;y;z;a
58381161819214;1.8451538;0.37139893;9.592697;3
58381166763062;1.8451538;0.37738037;9.622635;3
58381171706910;1.925354;0.38098145;9.657349;3
58381176681275;2.0211334;0.38217163;9.666916;3
58381181594605;2.1252747;0.3582306;9.669312;3
58381186538453;2.1791382;0.33428955;9.773468;3
58381191482300;2.249771;0.3103485;9.830917;3
58381196426148;2.356308;0.30197144;9.830917;3
58381201369996;2.3742676;0.256485;9.824936;3
58381206313843;2.3383636;0.20500183;9.846481;3
58381211227173;2.2749176;0.14874268;9.767471;3
58381216171021;2.2581482;0.14634705;9.628616;3
58381221114869;2.2605438;0.1511383;9.574738;3
58381226058716;2.1827393;0.1343689;9.414337;3
58381231002564;2.1803436;0.1343689;9.227585;3
58381235946412;2.2306213;0.103256226;9.088715;3
58381240859742;2.1959076;0.12599182;9.008514;3
58381245834107;2.1611938;0.10803223;8.982178;3
58381250777955;2.1061249;0.043395996;8.846909;3
58381255721802;1.9780273;0.014663696;8.75354;3
58381260635132;1.9528961;-0.006881714;8.758316;3
58381265578980;1.9792328;0.0014953613;8.779861;3
58381270522828;2.0666199;-0.047592163;8.816986;3
58381275436158;2.185135;-0.10864258;8.881622;3
58381280380005;2.3072357;-0.16729736;8.894791;3
58381285323853;2.435318;-0.248703;8.916336;3
58381290267701;2.5155334;-0.28102112;9.075546;3
58381295242066;2.5885468;-0.30256653;9.218002;3
58381300155396;2.6292572;-0.3109436;9.324554;3
58381305129761;2.6352386;-0.3695984;9.3880005;3
58381310073609;2.6101074;-0.3755951;9.456238;3
58381315017457;2.5682068;-0.36242676;9.544815;3
58381319930787;2.5131378;-0.35284424;9.553192;3
58381324874634;2.4772186;-0.34326172;9.591507;3
58381329818482;2.38385;-0.3073578;9.653748;3
58381334762330;2.3610992;-0.33369446;9.672913;3
58381339675660;2.3826447;-0.30137634;9.68248;3
58381344588990;2.4472961;-0.23912048;9.690857;3
58381349532837;2.4125824;-0.2427063;9.6453705;3
58381354476685;2.3790588;-0.24151611;9.622635;3
58381359420533;2.3551178;-0.21159363;9.529251;3
58381364364380;2.3371582;-0.213974;9.42511;3
58381369308228;2.2892761;-0.1984253;9.343704;3
58381374252076;2.3180084;-0.17088318;9.270676;3
58381379195923;2.344345;-0.1804657;9.312576;3
58381384139771;2.2785034;-0.17567444;9.32695;3
58381389083619;2.1983032;-0.15052795;9.413132;3
58381394027466;2.1671753;-0.12420654;9.403564;3
58381398971314;2.2354126;-0.09786987;9.416733;3
58381403915162;2.3347626;-0.13137817;9.440674;3
58381408828492;2.3934174;-0.20440674;9.548401;3
58381413772339;2.5550385;-0.14575195;9.716003;3
58381418716187;2.6819305;-0.11103821;9.772263;3
58381423660035;2.6687622;-0.105041504;9.78064;3
58381428603882;2.5682068;-0.06074524;9.796204;3
58381433547730;2.3682861;-0.057159424;9.806976;3
58381438491578;2.22464;-0.011672974;9.7603;3
58381443404908;2.1216888;0.082901;9.712418;3
58381448348755;2.0558472;0.122406006;9.765076;3
58381453292603;2.0582428;0.120010376;9.775864;3
58381458266968;2.1180878;0.10444641;9.785431;3
58381463180298;2.1970978;0.15353394;9.753113;3
58381468124146;2.2030792;0.19303894;9.757904;3
58381473067994;2.1420288;0.20500183;9.680084;3
58381478011841;2.0414734;0.25767517;9.597488;3
58381482955689;1.9576874;0.3067627;9.536438;3
58381487899537;1.9457092;0.35343933;9.464615;3
58381492843384;2.0295105;0.38337708;9.397568;3
58381497787232;2.0893555;0.34866333;9.3880005;3
58381502731080;2.1348572;0.36302185;9.516083;3
58381507644410;2.193512;0.41210938;9.567566;3
58381512557740;2.2677307;0.41090393;9.517288;3
58381517501587;2.2856903;0.41210938;9.5460205;3
58381522445435;2.1839294;0.4372406;9.7603;3
58381527389283;2.0965424;0.48153687;9.694458;3
58381532333130;2.1037292;0.44561768;9.482574;3
58381537276978;2.1587982;0.4252777;9.613052;3
58381542220826;2.2976532;0.40971375;9.917114;3
58381547164673;2.419754;0.37858582;9.8824005;3
58381552108521;2.502365;0.3977356;9.704025;3
58381557052369;2.553833;0.3618164;9.808182;3
58381561965699;2.5346832;0.32232666;9.996124;3
58381566909546;2.5287018;0.2995758;9.7243805;3
58381571853394;2.5263062;0.30915833;9.416733;3
58381576797242;2.4975739;0.32232666;9.478973;3
58381581741089;2.4580688;0.30915833;9.628616;3
58381586684937;2.505951;0.2780304;9.382004;3
58381591628785;2.5251007;0.2313385;9.15097;3
58381596572632;2.5083466;0.2600708;9.377228;3
58381601516480;2.522705;0.24571228;9.469406;3
58381606460328;2.5035553;0.22894287;9.245544;3
58381611373658;2.4496918;0.23612976;9.317368;3
58381616317505;2.411377;0.27204895;9.338913;3
58381621261353;2.3778687;0.25888062;9.303009;3
58381626205201;2.3539276;0.25767517;9.34729;3
58381631149048;2.4125824;0.21697998;9.480179;3
58381636092896;2.4712372;0.21458435;9.68248;3
58381641006226;2.5047607;0.22775269;9.828522;3
58381645980591;2.56221;0.19541931;9.836914;3
58381650893921;2.5263062;0.1690979;9.870422;3
58381655868287;2.48201;0.1511383;9.893173;3
58381660812134;2.48201;0.15711975;9.947037;3
58381665755982;2.395813;0.21098328;9.942261;3
58381670699830;2.189911;0.22175598;9.969788;3
58381675613160;1.9995728;0.261261;10.039215;3
58381680557007;1.9265594;0.29119873;9.950638;3
58381685470337;1.9816284;0.32351685;9.847687;3
58381690414185;2.1396332;0.3294983;9.856064;3
58381695358033;2.356308;0.3115387;9.912323;3
58381700301880;2.5203247;0.34866333;9.939865;3
58381705245728;2.5993195;0.36302185;9.865646;3
58381710189576;2.6256561;0.3582306;9.814163;3
58381715133423;2.5706024;0.34985352;9.736359;3
58381720046753;2.5107422;0.3869629;9.648956;3
58381724990601;2.5167236;0.40731812;9.579529;3
58381729934449;2.5598145;0.40371704;9.441864;3
58381734908814;2.5753784;0.41448975;9.341309;3
58381739852662;2.5861511;0.44082642;9.317368;3
58381744796509;2.5514374;0.43125916;9.252716;3
58381749709839;2.4796143;0.42765808;9.223999;3
58381754653687;2.4460907;0.45399475;9.202438;3
58381759597535;2.5071564;0.39414978;9.274277;3
58381764541382;2.6101074;0.38815308;9.270676;3
58381769454712;2.6998749;0.3582306;9.226395;3
58381774398560;2.7070618;0.32591248;9.494537;3
58381779342408;2.6651611;0.29478455;9.628616;3
58381784286255;2.6651611;0.27563477;9.536438;3
58381789230103;2.7333984;0.29238892;9.562775;3
58381794173951;2.81839;0.23612976;9.804581;3
58381799087281;2.8866272;0.20739746;9.865646;3
58381804061646;2.984787;0.18704224;9.622635;3
58381809005494;3.0542297;0.14155579;9.538834;3
58381813918824;3.0733795;0.09725952;9.66333;3
58381818862671;3.0183105;0.08648682;9.628616;3
58381823806519;2.988388;0.067337036;9.431091;3
58381828750367;2.9584503;0.1116333;9.428696;3
58381833694214;2.9345093;0.07092285;9.58551;3
58381838638062;2.936905;0.030227661;9.44545;3
58381843581910;3.008728;0.03741455;9.153366;3
58381848525757;3.0542297;0.012268066;9.291031;3
58381853439087;3.0614014;-0.018859863;9.560379;3
58381858382935;3.019516;-0.010467529;9.368835;3
58381863326783;3.0099335;0.0050811768;9.402359;3
58381868270630;3.0374603;-0.011672974;9.475388;3
58381873214478;3.032669;-0.027236938;9.481369;3
58381878158326;2.97641;-0.020050049;9.512497;3
58381883102173;2.9225464;-0.023635864;9.58432;3
58381888046021;2.853119;-0.035614014;9.592697;3
58381892989869;2.8794403;-0.06434631;9.6453705;3
58381897933716;2.9321136;-0.08230591;9.632202;3
58381902847046;2.940506;-0.05596924;9.671707;3
58381907790894;2.8794403;-0.07032776;9.690857;3
58381912734742;2.8435364;-0.08947754;9.757904;3
58381917678589;2.866272;-0.07991028;9.745926;3
58381922622437;2.8758545;-0.081100464;9.747131;3
58381927566285;2.8626862;-0.08708191;9.674103;3
58381932510132;2.8794403;-0.06314087;9.592697;3
58381937453980;2.916565;-0.061950684;9.549606;3
58381942397828;2.972824;-0.0655365;9.518478;3
58381947311158;2.9237366;-0.023635864;9.423904;3
58381952255005;2.885437;0.03981018;9.384399;3
58381957198853;2.8626862;0.08888245;9.312576;3
58381962142701;2.8507233;0.13916016;9.256317;3
58381967086548;2.853119;0.17866516;9.200058;3
58381972030396;2.838745;0.26486206;9.105484;3
58381976974244;2.8339539;0.33070374;9.080338;3
58381981918091;2.8399506;0.3690033;8.958237;3
58381986861939;2.8495178;0.37260437;8.856476;3
58381991805787;2.8351593;0.40252686;8.831345;3
58381996719117;2.9081726;0.45159912;8.800217;3
58382001662964;2.964447;0.4372406;8.850494;3
58382006606812;3.082962;0.4671631;8.79184;3
58382011550660;3.111679;0.4767456;8.812195;3
58382016494507;3.127243;0.48033142;8.819366;3
58382021438355;3.158371;0.48033142;8.795425;3
58382026382203;3.1332397;0.49349976;8.827759;3
58382031326050;3.1140747;0.5162506;8.812195;3
58382036239380;3.0805664;0.54737854;8.794235;3
58382041183228;2.9955597;0.5461731;8.85289;3
58382046127076;2.9548645;0.5162506;8.928314;3
58382051070923;2.9776154;0.5449829;9.07077;3
58382056014771;2.945282;0.5485687;9.073166;3
58382060958619;2.9416962;0.54977417;9.065979;3
58382065902466;2.9416962;0.5569458;9.118652;3
58382070846314;3.0266876;0.5545502;9.131821;3
58382075790162;3.103302;0.58688354;9.179703;3
58382080734009;3.221817;0.62757874;9.299408;3
58382085647339;3.2828674;0.6407471;9.40715;3
58382090591187;3.2110443;0.6359558;9.434677;3
58382095535035;3.142807;0.62638855;9.451447;3
58382100478882;3.1380157;0.6539154;9.452637;3
58382105422730;3.1284485;0.6646881;9.499329;3
58382110336060;3.048233;0.6251831;9.501724;3
58382115279908;2.8997955;0.66947937;9.5112915;3
58382120223755;2.838745;0.67066956;9.465805;3
58382125167603;2.7765045;0.6575012;9.434677;3
58382130080933;2.72023;0.65631104;9.415527;3
58382135024781;2.751358;0.67785645;9.465805;3
58382139968628;2.806427;0.62757874;9.525665;3
58382144912476;2.909378;0.6179962;9.574738;3
58382149856324;3.0218964;0.60961914;9.587906;3
58382154800171;3.0937347;0.56173706;9.563965;3
58382159713501;3.173935;0.5018921;9.688461;3
58382164657349;3.2110443;0.49110413;9.777054;3
58382169601197;3.2505493;0.4552002;9.751907;3
58382174545044;3.269699;0.39175415;9.677689;3
58382179488892;3.308014;0.34147644;9.659744;3
58382184432740;3.3894196;0.32591248;9.653748;3
58382189376587;3.4325104;0.28640747;9.5065155;3
58382194320435;3.5163116;0.2780304;9.44545;3
58382199264283;3.592926;0.27563477;9.377228;3
58382204208130;3.668335;0.22894287;9.300613;3
58382209151978;3.755722;0.18585205;9.213226;3
58382214095826;3.8383179;0.1511383;9.122238;3
58382219039673;3.9281006;0.14874268;9.085129;3
58382223983521;3.9676056;0.12719727;9.068375;3
58382228896851;3.937683;0.07810974;9.052811;3
58382233840699;3.9257202;0.08529663;8.989365;3
58382238784546;3.9113464;0.09725952;8.929504;3
58382243697876;3.874237;0.11642456;8.8828125;3
58382248641724;3.8670502;0.12838745;8.770294;3
58382253585572;3.8754425;0.13796997;8.658966;3
58382258529419;3.8886108;0.12359619;8.620651;3
58382263473267;3.8730469;0.124801636;8.533264;3
58382268417115;3.8562775;0.15951538;8.468628;3
58382273360962;3.826355;0.17028809;8.387222;3
58382278304810;3.7605133;0.14276123;8.292648;3
58382283248658;3.7425537;0.18824768;8.26033;3
58382288192505;3.8036041;0.21218872;8.244766;3
58382293136353;3.858673;0.21697998;8.150192;3
58382298080201;3.8383179;0.19902039;8.143005;3
58382303024048;3.8155823;0.1798706;8.126251;3
58382307937378;3.8514862;0.22775269;7.979004;3
58382312850708;3.8059998;0.2205658;7.829376;3
58382317794556;3.6659393;0.22654724;7.78508;3
