t;x;y;z;a
39461735285575;0.8339386;5.9541016;8.901901;3
39461740259940;0.8231659;5.9074097;9.106613;3
39461745173270;0.8626709;5.9062195;9.325684;3
39461750117118;0.9057617;5.961273;9.384338;3
39461755060966;0.94047546;6.0139465;9.478912;3
39461760004813;0.8303528;6.04747;9.723114;3
39461764948661;0.5083313;5.9541016;9.902679;3
39461769892509;0.15518188;5.7673492;9.905075;3
39461774836356;-0.3260498;5.781708;9.267014;3
39461779780204;-0.6839905;6.142044;8.338074;3
39461784724052;-0.14768982;6.0486755;9.705154;3
39461789667899;0.12765503;5.900223;10.351593;3
39461794611747;-0.108184814;5.8236084;10.017609;3
39461799555594;-0.3320465;5.86911;9.921829;3
39461804468925;-0.57266235;5.841568;9.870361;3
39461809412772;-1.0610809;5.6943207;9.599808;3
39461814387137;-1.6811676;5.604538;9.225128;3
39461819300468;-2.2306366;5.584198;9.177231;3
39461824244315;-2.7130737;5.656021;8.87796;3
39461829188163;-2.9943848;5.88945;8.44342;3
39461834162528;-2.8830566;6.268936;8.053162;3
39461839106376;-2.152832;6.7848816;7.9657745;3
39461844050223;-1.0203705;7.512726;8.24231;3
39461848994071;0.3646698;8.439285;8.831284;3
39461853937919;1.9867401;9.237747;9.671646;3
39461858851249;3.203003;9.368225;9.834442;3
39461863764579;4.420456;8.949249;7.7514954;3
39461868708427;5.6690216;8.468002;4.7479706;3
39461873652274;6.354965;7.941284;3.3916473;3
39461878596122;6.4579163;7.4085693;3.4359436;3
39461883539969;5.472702;6.952484;4.615082;3
39461888514335;4.2420807;6.7214355;6.1784973;3
39461893427665;3.337082;6.9357147;7.087097;3
39461898402030;2.4823456;7.260132;7.528824;3
39461903315360;1.4241028;7.1164856;7.700012;3
39461908259208;0.34072876;6.572998;7.836487;3
39461913203055;-0.05909729;6.3419647;7.920288;3
39461918146903;0.42332458;7.0326843;8.302155;3
39461923090751;0.5597992;7.585739;8.663681;3
39461928034598;0.03666687;7.773697;8.505661;3
39461932978446;-0.9760742;7.588135;7.834091;3
39461937891776;-2.1396637;7.1440125;6.994919;3
39461942835624;-2.7825012;6.976425;6.371231;3
39461947779471;-2.781311;7.201477;6.3413086;3
39461952723319;-2.4664764;7.3247833;6.93985;3
39461957667167;-2.1157227;7.102112;7.2499084;3
39461962611014;-1.9289703;6.996765;7.208008;3
39461967524344;-1.8200378;7.3092194;7.17688;3
39461972468192;-1.9660797;7.62764;7.355255;3
39461977412040;-2.377884;7.4995575;7.561157;3
39461982386405;-2.4449158;6.948883;7.5360107;3
39461987299735;-1.8990479;6.5622253;6.9458466;3
39461992274100;-1.4261932;6.655594;6.251526;3
39461997187430;-0.92819214;6.7573547;6.1401978;3
39462002131278;-0.53793335;6.4951935;5.777466;3
39462007075126;-1.2442322;5.3268127;4.379257;3
39462012018973;-2.334793;4.3451996;2.6530457;3
39462016962821;-2.4987946;4.751007;2.0485077;3
39462021906669;-0.16204834;6.509552;3.4922028;3
39462026850516;3.1144104;8.348297;6.7076263;3
39462031763846;2.958786;9.049805;7.2139893;3
39462036707694;1.270874;8.600891;6.8069763;3
39462041651542;0.574173;7.517517;7.5360107;3
39462046595389;2.1339874;4.789322;7.1553345;3
39462051539237;1.9532318;4.112961;6.3580627;3
39462056483085;0.7190094;4.656433;5.406372;3
39462061426932;0.48797607;5.196335;4.932312;3
39462066370780;1.0829315;6.027115;5.1669464;3
39462071314628;1.3666534;6.6065216;5.2531433;3
39462076258475;0.8411255;6.6879272;4.829361;3
39462081202323;-0.11177063;6.4592743;4.267929;3
39462086146171;-0.575058;6.611313;4.29068;3
39462091090018;-0.2578125;7.2792816;5.0244904;3
39462096033866;0.4736023;7.987976;5.75473;3
