t;x;y;z;a
268084236777577;-0.6943185;7.249643;6.6989765;3
268084242332577;-0.6967127;7.2328835;6.7348895;3
268084247337500;-0.6655881;7.252037;6.7827735;3
268084253683653;-0.5746084;7.2472486;6.8067155;3
268084257347115;-0.51954174;7.2328835;6.8067155;3
268084262352038;-0.4357447;7.2304893;6.8067155;3
268084267326500;-0.40701428;7.2352777;6.7731967;3
268084272331346;-0.39264908;7.240066;6.715736;3
268084277336269;-0.39743748;7.240066;6.715736;3
268084282341192;-0.4309563;7.2592196;6.703765;3
268084287346115;-0.50517654;7.264008;6.6846113;3
268084292543730;-0.5626374;7.309498;6.682217;3
268084297355731;-0.59376204;7.323863;6.6870055;3
268084302330115;-0.60812724;7.311892;6.706159;3
268084307335038;-0.59376204;7.2711906;6.727707;3
268084312339961;-0.61052144;7.252037;6.7708025;3
268084317344884;-0.6823475;7.2352777;6.847417;3
268084322349577;-0.7254431;7.228095;6.871359;3
268084327354500;-0.6631939;7.2544312;6.861782;3
268084332525884;-0.62967503;7.290344;6.8282633;3
268084337364346;-0.59855044;7.2711906;6.777985;3
268084342338731;-0.5363012;7.275979;6.6893997;3
268084347343654;-0.47165772;7.275979;6.5625067;3
268084352348346;-0.46447513;7.299921;6.481104;3
268084357353269;-0.49320555;7.2711906;6.411672;3
268084362327731;-0.51954174;7.2592196;6.2823853;3
268084367332577;-0.5530606;7.2448545;6.172252;3
268084372565577;-0.60333884;7.237672;6.0501475;3
268084377342423;-0.5770026;7.290344;6.0597243;3
268084382347346;-0.45250413;7.3430166;6.1100025;3
268084387352038;-0.25139117;7.4028716;6.2584434;3
268084392326500;-0.19871874;7.350199;6.4858923;3
268084397331346;-0.2657564;7.249643;6.6103907;3
268084402336269;-0.30406362;7.1754227;6.6175733;3
268084407341192;-0.2801216;7.1347213;6.6415157;3
268084412617192;-0.18674773;7.1251445;6.7588315;3
268084417350808;-0.05267244;7.091625;6.859388;3
268084422355731;0.06464344;7.091625;6.835446;3
268084427330115;0.17477672;7.07726;6.7803793;3
268084432335039;0.25617957;7.065289;6.7109475;3
268084437339962;0.32321724;7.079654;6.64391;3
268084442344885;0.32800564;7.074866;6.567295;3
268084447349577;0.31603462;7.0820484;6.531382;3
268084452566808;0.2705448;7.1131735;6.5457473;3
268084457359423;0.18435353;7.1083846;6.5625067;3
268084462333885;0.007182605;7.1275387;6.6271505;3
268084467338731;-0.24660277;7.141904;6.6846113;3
268084472343654;-0.5410896;7.1634517;6.7612257;3
268084477348346;-0.78769237;7.1730285;6.8426285;3
268084482353269;-0.93613285;7.1849995;6.907272;3
268084487327654;-1.0319009;7.1730285;6.9144545;3
268084492527116;-1.0462662;7.129933;6.897695;3
268084497337500;-1.0582372;7.1059904;6.8306575;3
268084502342423;-1.0342951;7.1107793;6.667852;3
268084507347346;-1.0055647;7.129933;6.5744777;3
268084512352039;-0.93134445;7.1155677;6.483498;3
268084517326500;-0.8499416;7.117962;6.4140663;3
268084522331423;-0.79726917;7.098808;6.3326635;3
268084527336270;-0.7781156;7.098808;6.325481;3
268084532559423;-0.7733272;7.0844426;6.339846;3
268084537346116;-0.8331822;7.0964136;6.399701;3
268084542351039;-0.90740246;7.1059904;6.4978633;3
268084547355731;-1.0151415;7.120356;6.6103907;3
268084552330193;-1.1587936;7.1371155;6.742072;3
268084557335039;-1.2258313;7.1227503;6.873753;3
268084562339962;-1.2761095;7.1083846;6.9862804;3
